,SALE_YEAR,NBHD_ID,Last_Year_Price,Median_Neighbor_Last_Year_Price,SALE_PRICE
1076,2013,66,626000.0,372625.0,535000.0
1077,2014,66,535000.0,372250.0,813250.0
1078,2015,66,813250.0,435000.0,833000.0
1079,2016,66,833000.0,472500.0,755500.0
1080,2017,66,755500.0,557500.0,1050000.0
1081,2018,66,1050000.0,586750.0,1015000.0
1082,2019,66,1015000.0,660500.0,875000.0
1084,2002,67,159000.0,152500.0,152000.0
1085,2003,67,152000.0,155550.0,149000.0
1086,2004,67,149000.0,171687.5,173750.0
1087,2005,67,173750.0,165675.0,158900.0
1088,2006,67,158900.0,160770.25,139000.0
1089,2007,67,139000.0,169950.0,136750.0
1090,2008,67,136750.0,144950.0,136700.0
1091,2009,67,136700.0,148045.5,129000.0
1092,2010,67,129000.0,135850.0,150750.0
1093,2011,67,150750.0,138500.0,107250.0
1094,2012,67,107250.0,136470.0,133500.0
1095,2013,67,133500.0,143500.0,141250.0
1096,2014,67,141250.0,162450.0,163250.0
1097,2015,67,163250.0,186200.0,199000.0
1098,2016,67,199000.0,223250.0,228000.0
1099,2017,67,228000.0,245687.5,270000.0
1100,2018,67,270000.0,301235.0,305000.0
1101,2019,67,305000.0,338500.0,331666.5
1103,2002,68,154500.0,155500.0,152000.0
1104,2003,68,152000.0,159675.0,176000.0
1105,2004,68,176000.0,156500.0,166350.0
1106,2005,68,166350.0,171450.0,155750.0
1107,2006,68,155750.0,166187.5,179900.0
1108,2007,68,179900.0,159500.0,139750.0
1109,2008,68,139750.0,143750.0,150000.0
1110,2009,68,150000.0,145920.5,127500.0
1111,2010,68,127500.0,134500.0,122875.0
1112,2011,68,122875.0,143875.0,143940.0
1113,2012,68,143940.0,131500.0,142000.0
1114,2013,68,142000.0,134500.0,159900.0
1115,2014,68,159900.0,157450.0,172500.0
1116,2015,68,172500.0,169125.0,203250.0
1117,2016,68,203250.0,210750.0,227000.0
1118,2017,68,227000.0,229000.0,300000.0
1119,2018,68,300000.0,282250.0,336000.0
1120,2019,68,336000.0,318125.0,355500.0
1122,2002,69,219000.0,280000.0,210000.0
1123,2003,69,210000.0,270500.0,216950.0
1124,2004,69,216950.0,278000.0,235000.0
1125,2005,69,235000.0,284500.0,235000.0
1126,2006,69,235000.0,314900.0,242000.0
1127,2007,69,242000.0,280000.0,260250.0
1128,2008,69,260250.0,320000.0,232000.0
1129,2009,69,232000.0,296250.0,242750.0
